ID,Query,Expected_Route,Predicted_Route,Route_Correct,Expected_Complexity,Predicted_Complexity,Ambiguity_Type,Expected_Flag,Predicted_Flag_OK,Stage1_Route,Stage1_Confidence,Stage2,Stage2_Override,Stage2_Override_Reason,Clarify_Question,Reasoning_Steps,Parse_Error,Latency_ms
clarify_eval_001,Quy định này áp dụng cho trường hợp nào trong lĩnh vực lao động?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể được nhắc đến. Thiếu 'retrieval target' nghiêm trọng (không có tên văn bản, số hiệu, hoặc lĩnh vực cụ thể), khiến việc truy xuất thông tin là không thể.","Bạn vui lòng cung cấp tên hoặc số hiệu của văn bản pháp luật mà câu hỏi đang đề cập đến (ví dụ: Luật Lao động 2019, Nghị định 145/2020/NĐ-CP, v.v.) để tôi có thể trả lời chính xác.","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề hoặc lịch sử hội thoại để xác định văn bản cụ thể. | Nhận thấy thiếu thông tin bắt buộc (tên văn bản, số hiệu, lĩnh vực) để thực hiện truy xuất pháp lý chính xác.",,4951.97
clarify_eval_002,Quy định này áp dụng cho trường hợp nào trong lĩnh vực bảo hiểm xã hội?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể được nhắc đến. Thiếu 'retrieval target' nghiêm trọng (không có tên văn bản, số hiệu, hoặc lĩnh vực cụ thể) khiến việc truy xuất thông tin là không thể.","Bạn đang đề cập đến quy định nào? Vui lòng cung cấp tên văn bản, số hiệu (ví dụ: Nghị định, Thông tư) hoặc lĩnh vực cụ thể của quy định đó.","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề hoặc lịch sử hội thoại để xác định văn bản cụ thể. | Nhận thấy thiếu thông tin bắt buộc (tên văn bản, số hiệu, lĩnh vực) để định hướng truy xuất pháp lý chính xác.",,3090.83
clarify_eval_003,Quy định này áp dụng cho trường hợp nào trong lĩnh vực đất đai?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến. Thiếu 'retrieval target' nghiêm trọng (không có số hiệu văn bản, tên văn bản, hoặc lĩnh vực cụ thể), khiến việc truy xuất thông tin là không thể.","Bạn vui lòng cung cấp số hiệu, tên hoặc cơ quan ban hành của văn bản pháp luật mà bạn đang muốn hỏi về quy định áp dụng trong lĩnh vực đất đai?","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề (lịch sử hội thoại trống). | Nhận thấy thiếu hoàn toàn thông tin định danh văn bản pháp luật (số hiệu, tên, cơ quan ban hành) cần thiết để truy xuất. | Kết luận câu hỏi không thể trả lời chính xác nếu không làm rõ đối tượng 'Quy định này' là gì.",,3323.7
clarify_eval_004,Quy định này áp dụng cho trường hợp nào trong lĩnh vực giao thông đường bộ?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến. Thiếu 'retrieval target' nghiêm trọng (không có tên văn bản, số hiệu, hoặc lĩnh vực cụ thể), khiến việc truy xuất thông tin là không thể.","Bạn vui lòng cung cấp tên hoặc số hiệu của văn bản pháp luật mà câu hỏi đang đề cập đến (ví dụ: Nghị định 100/2019/NĐ-CP, Luật Giao thông đường bộ 2008, v.v.) để tôi có thể trả lời chính xác.","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề hoặc lịch sử hội thoại để xác định văn bản cụ thể. | Nhận thấy thiếu thông tin bắt buộc (tên văn bản, số hiệu, lĩnh vực) để thực hiện truy xuất pháp lý chính xác.",,3377.91
clarify_eval_005,Quy định này áp dụng cho trường hợp nào trong lĩnh vực hàng không dân dụng?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể được nhắc đến. Thiếu 'retrieval target' nghiêm trọng (không có số hiệu văn bản, tên văn bản, hoặc lĩnh vực cụ thể) khiến việc truy xuất thông tin là không thể.","Bạn vui lòng cung cấp số hiệu, tên hoặc lĩnh vực cụ thể của văn bản pháp luật mà bạn đang muốn hỏi về (ví dụ: Luật Hàng không Dân dụng, Nghị định số..., Thông tư số...).","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề (lịch sử hội thoại trống). | Nhận thấy thiếu hoàn toàn thông tin định danh văn bản pháp luật (số hiệu, tên, lĩnh vực) cần truy xuất. | Kết luận câu hỏi không thể trả lời chính xác nếu không làm rõ đối tượng 'Quy định này' là gì.",,3428.31
clarify_eval_006,"Quy định này áp dụng cho trường hợp nào trong lĩnh vực khám bệnh, chữa bệnh?",clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến. Thiếu 'retrieval target' nghiêm trọng (không có tên văn bản, số hiệu, hoặc lĩnh vực cụ thể), khiến việc truy xuất thông tin là không thể mà không cần làm rõ.","Bạn vui lòng cung cấp tên hoặc số hiệu của văn bản pháp luật (ví dụ: Luật Khám bệnh, chữa bệnh, Nghị định số..., Thông tư số...) mà câu hỏi đang đề cập đến.","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề hoặc lịch sử hội thoại để xác định văn bản cụ thể. | Kết luận thiếu thông tin cần thiết (retrieval target) để thực hiện truy xuất pháp lý chính xác, cần làm rõ văn bản mục tiêu.",,3233.77
clarify_eval_007,Quy định này áp dụng cho trường hợp nào trong lĩnh vực môi trường?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến. Thiếu 'retrieval target' nghiêm trọng (không có tên văn bản, số hiệu, hoặc lĩnh vực cụ thể), khiến việc truy xuất thông tin là không thể nếu không làm rõ.","Bạn đang đề cập đến quy định nào? Vui lòng cung cấp tên văn bản, số hiệu (ví dụ: Nghị định 123/2024/NĐ-CP) hoặc lĩnh vực cụ thể để tôi có thể trả lời chính xác.","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề (lịch sử hội thoại trống). | Nhận thấy thiếu hoàn toàn thông tin định danh văn bản pháp luật (tên, số hiệu, lĩnh vực) để thực hiện truy xuất. | Kết luận câu hỏi thuộc loại thiếu thông tin cần thiết (missing retrieval target) và cần làm rõ trước khi xử lý.",,4579.52
clarify_eval_008,Quy định này áp dụng cho trường hợp nào trong lĩnh vực đầu tư công?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến. Thiếu 'retrieval target' nghiêm trọng (không có số hiệu văn bản, tên văn bản, hoặc lĩnh vực cụ thể), khiến việc truy xuất thông tin là không thể.","Bạn vui lòng cung cấp số hiệu, tên hoặc cơ quan ban hành của văn bản pháp luật mà bạn đang muốn hỏi về phạm vi áp dụng?","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề (lịch sử hội thoại trống). | Nhận thấy thiếu hoàn toàn thông tin định danh văn bản pháp luật (số hiệu, tên, cơ quan ban hành) để xác định đối tượng cần tra cứu.",,4028.34
clarify_eval_009,Quy định này áp dụng cho trường hợp nào trong lĩnh vực doanh nghiệp?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có ngữ cảnh hội thoại hoặc số hiệu văn bản cụ thể để xác định đối tượng cần tra cứu, dẫn đến thiếu retrieval target nghiêm trọng.","Bạn vui lòng cung cấp số hiệu hoặc tên cụ thể của văn bản quy định pháp luật mà bạn đang đề cập (ví dụ: Nghị định, Thông tư, Quyết định số...).","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc thông tin bổ sung để xác định văn bản pháp luật cụ thể. | Nhận thấy thiếu chủ thể, lĩnh vực hoặc số hiệu văn bản, khiến việc truy xuất thông tin trở nên không thể thực hiện được mà không cần làm rõ.",,3806.02
clarify_eval_010,Quy định này áp dụng cho trường hợp nào trong lĩnh vực thuế?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến. Thiếu 'retrieval target' nghiêm trọng khiến việc truy xuất thông tin là không thể.,"Bạn đang đề cập đến quy định nào? Vui lòng cung cấp tên hoặc số hiệu của văn bản pháp luật (ví dụ: Luật Thuế GTGT, Nghị định 123/2020/NĐ-CP, v.v.) để tôi có thể trả lời chính xác.","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề (lịch sử hội thoại trống). | Không thể xác định văn bản pháp luật cụ thể cần tra cứu, dẫn đến thiếu mục tiêu truy xuất (retrieval target).",,3315.56
