query,label,label_idx
Vấn đề đó giải quyết ra sao?,clarify,2
Mối quan hệ giữa Luật Hôn nhân và gia đình năm 2014 với Bộ luật dân sự và các luật khác có liên quan Vi  là gì?,graph,1
Họ phải làm gì?,clarify,2
Quy định có áp dụng không?,clarify,2
Ai chịu trách nhiệm theo Điều 35?,vector,0
Quy định có áp dụng không?,clarify,2
"Căn cứ vào Điều 66 và Điều 73, kết luận gì?",graph,1
Vấn đề đó giải quyết ra sao?,clarify,2
Mối quan hệ giữa Điều 63 với Điều 7 là gì?,graph,1
Sự khác nhau giữa luật không? và Luật Hôn nhân gia đình năm 2014?,graph,1
Luật Hộ tịch năm 2014 được quy định như thế nào?,vector,0
Bên đó có trách nhiệm gì?,clarify,2
Họ phải làm gì?,clarify,2
Điều 24 quy định về vấn đề gì?,vector,0
"Theo Điều 8 và luật quy định như thế nào?, quy định nào áp dụng?",graph,1
Cơ quan đó có thẩm quyền gì?,clarify,2
Nội dung Luật hôn nhân gia đình là gì?,vector,0
Luật đó quy định như thế nào?,clarify,2
Người đó có bị xử phạt không?,clarify,2
Điều 101 liên quan đến Điều 66 ra sao?,graph,1
luật không? có hiệu lực khi nào?,vector,0
Họ phải làm gì?,clarify,2
luật quy định việc định đoạt tài sản là nhà ở được quy định như thế nào?,vector,0
Điều 11 có hiệu lực khi nào?,vector,0
Người đó có bị xử phạt không?,clarify,2
Nội dung Bộ luật Dân sự 2015 là gì?,vector,0
Điều 24 được quy định như thế nào?,vector,0
Nội dung Điều 88 là gì?,vector,0
"Căn cứ vào Điều 55 và Điều 25, kết luận gì?",graph,1
Vấn đề đó giải quyết ra sao?,clarify,2
Điều 56 tham chiếu đến Luật Nuôi con nuôi 2010 như thế nào?,graph,1
So sánh Luật Hôn nhân gia đình và các Nghị định hướng và Bộ luật Dân sự 2015,graph,1
Bên đó có trách nhiệm gì?,clarify,2
Sự khác nhau giữa Điều 69 và luật về tố tụng dân sự?,graph,1
Điều 3 được quy định như thế nào?,vector,0
So sánh Điều 79 và luật cấm kết hôn,graph,1
Luật Hôn nhân và Gia đình 2014 được quy định như thế nào?,vector,0
Ông ấy có quyền gì?,clarify,2
Người đó có bị xử phạt không?,clarify,2
Nội dung luật về thừa kế là gì?,vector,0
Điều 9 có hiệu lực khi nào?,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
Luật HNGĐ năm 2014 liên quan đến luật không? ra sao?,graph,1
"Theo luật thì quan hệ hôn nhân được xác lập từ thờ và Điều 25, quy định nào áp dụng?",graph,1
Cơ quan đó có thẩm quyền gì?,clarify,2
luật quy định những cơ quan liên quan đến Điều 31 ra sao?,graph,1
Luật đó quy định như thế nào?,clarify,2
Cơ quan đó có thẩm quyền gì?,clarify,2
Bên đó có trách nhiệm gì?,clarify,2
Ông ấy có quyền gì?,clarify,2
Điều 95 liên quan đến luật về thừa kế ra sao?,graph,1
Điều 78 tham chiếu đến Luật hôn nhân và gia đình năm 2014 như thế nào?,graph,1
Điều 10 có hiệu lực khi nào?,vector,0
Mối quan hệ giữa Luật Nuôi con nuôi 2010 với Luật Hôn nhân và Gia đình 2014 là gì?,graph,1
Họ phải làm gì?,clarify,2
Quy định có áp dụng không?,clarify,2
Quy định tại luật không phải đăng ký quyền sở hữu nói gì?,vector,0
"Theo Điều 76 và Điều 12, quy định nào áp dụng?",graph,1
Cơ quan đó có thẩm quyền gì?,clarify,2
Sự khác nhau giữa Điều 10 và Điều 38?,graph,1
Điều đó có đúng không?,clarify,2
"Theo Luật thì bạn có thể yêu cầu phía chồng cũ thự và luật nếu một mình tôi yêu cầu ly hôn thì tòa , quy định nào áp dụng?",graph,1
Người đó có bị xử phạt không?,clarify,2
Cơ quan đó có thẩm quyền gì?,clarify,2
Họ phải làm gì?,clarify,2
luật không? quy định về vấn đề gì?,vector,0
Nội dung Điều 53 là gì?,vector,0
Điều 4 có hiệu lực khi nào?,vector,0
Vấn đề đó giải quyết ra sao?,clarify,2
Luật Thi hành án dân sự tham chiếu đến luật tố tụng dân sự như thế nào?,graph,1
Luật đó quy định như thế nào?,clarify,2
"Theo Điều 73 và Luật Nuôi con nuôi 2010, quy định nào áp dụng?",graph,1
Điều đó có đúng không?,clarify,2
"Căn cứ vào Luật hôn nhân và gia đình năm 2014 quy định n và Điều 17, kết luận gì?",graph,1
Quy định tại Điều 27 nói gì?,vector,0
"Căn cứ vào Điều 53 và Điều 10, kết luận gì?",graph,1
Vấn đề đó giải quyết ra sao?,clarify,2
Luật hôn nhân và gia đình năm 2014 quy định n được quy định như thế nào?,vector,0
Ông ấy có quyền gì?,clarify,2
luật về thừa kế quy định về vấn đề gì?,vector,0
Điều 12 quy định về vấn đề gì?,vector,0
Quy định có áp dụng không?,clarify,2
Bên đó có trách nhiệm gì?,clarify,2
Nội dung Điều 84 là gì?,vector,0
Mối quan hệ giữa Điều 3 với luật bảo vệ theo quy định tại Bộ luật Dân sự  là gì?,graph,1
Bên đó có trách nhiệm gì?,clarify,2
Quy định có áp dụng không?,clarify,2
luật công nhận tham chiếu đến luật thì quan hệ hôn nhân được xác lập từ thờ như thế nào?,graph,1
Điều 77 có hiệu lực khi nào?,vector,0
So sánh luật bảo vệ theo quy định tại Bộ luật Dân sự  và Điều 116,graph,1
Ông ấy có quyền gì?,clarify,2
Nội dung Điều 69 là gì?,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
Điều đó có đúng không?,clarify,2
"Căn cứ vào luật không quy định và các bên không có thỏa  và Điều 55, kết luận gì?",graph,1
Mối quan hệ giữa luật tố tụng dân sự với Điều 82 là gì?,graph,1
Luật đó quy định như thế nào?,clarify,2
luật về tố tụng dân sự có hiệu lực khi nào?,vector,0
Điều 77 được quy định như thế nào?,vector,0
Cho tôi biết về Bộ luật dân sự và các luật khác có liên quan Vi ,vector,0
Điều 53 được quy định như thế nào?,vector,0
So sánh luật quy định vấn đề này như thế nào? và luật cấm kết hôn,graph,1
Điều 15 tham chiếu đến Điều 16 như thế nào?,graph,1
Ai chịu trách nhiệm theo Điều 70?,vector,0
Vấn đề đó giải quyết ra sao?,clarify,2
Luật Hộ tịch năm 2014 tham chiếu đến Điều 59 như thế nào?,graph,1
Điều 84 liên quan đến Điều 5 ra sao?,graph,1
"Theo Luật hôn nhân gia đình và Luật HNGĐ, quy định nào áp dụng?",graph,1
Quy định tại Điều 10 nói gì?,vector,0
Điều 29 được quy định như thế nào?,vector,0
Điều đó có đúng không?,clarify,2
Ai chịu trách nhiệm theo Điều 73?,vector,0
Cho tôi biết về Điều 17,vector,0
Nội dung Luật nuôi con nuôi là gì?,vector,0
Người đó có bị xử phạt không?,clarify,2
Ai chịu trách nhiệm theo luật về thừa kế?,vector,0
Ông ấy có quyền gì?,clarify,2
Điều 32 quy định về vấn đề gì?,vector,0
Luật hôn nhân và gia đình năm 2014 quy định về vấn đề gì?,vector,0
"Căn cứ vào Luật Hôn nhân gia đình năm 2014 và Luật Cư trú 2006, kết luận gì?",graph,1
Quy định tại luật Hôn nhân và Gia đình 2014 nói gì?,vector,0
Cho tôi biết về Luật Luật Hôn nhân và gia đình năm 2014 đã qu,vector,0
Quy định tại Điều 52 nói gì?,vector,0
"Căn cứ vào Điều 104 và luật về thừa kế, kết luận gì?",graph,1
Luật thì bạn có thể yêu cầu phía chồng cũ thự tham chiếu đến Luật Thi hành án dân sự như thế nào?,graph,1
luật không quy định và các bên không có thỏa  liên quan đến luật về thừa kế ra sao?,graph,1
Điều 74 có hiệu lực khi nào?,vector,0
Quy định tại Luật HNGĐ và pháp luật về hộ tịch nói gì?,vector,0
"Căn cứ vào Điều 90 và Điều 82, kết luận gì?",graph,1
Nội dung Điều 10 là gì?,vector,0
Điều đó có đúng không?,clarify,2
Cho tôi biết về Luật HNGĐ năm 2014,vector,0
